annee,mois,mass_salary,nbemp
2010,1,4191207.738,2190
2010,2,4195896.58,2194
2010,3,5066122.431,2198
2010,4,4210121.9860000005,2222
2010,5,4231528.314,2223
2010,6,5241096.828,2260
2010,7,4268241.046,2258
2010,8,4320396.383,2282
2010,9,5318094.508,2294
2010,10,4464698.029,2338
2010,11,4506763.269,2367
2010,12,5571814.49,2385
2011,1,4569142.948,2406
2011,2,4569799.742000001,2419
2011,3,5577063.589,2433
2011,4,4625152.487,2459
2011,5,4674264.814,2502
2011,6,5998571.147,2651
2011,7,5088959.262,2852
2011,8,5118962.514,2885
2011,9,6680372.22,2912
2011,10,5695410.602,2941
2011,11,5758460.594,2961
2011,12,7073789.54,2977
2012,1,5927798.916,3070
2012,2,5961614.55,3098
2012,3,6916638.254,3181
2012,4,6174503.493,3232
2012,5,6199284.349,3245
2012,6,7912258.929,3460
2012,7,6486558.191,3445
2012,8,6543526.991,3479
2012,9,7408136.23,3479
2012,10,6593214.187,3487
2012,11,6796289.247,3538
2012,12,8411436.636,3608
2013,1,6981895.194,3584
2013,2,7016396.213,3586
2013,3,7952042.135,3596
2013,4,7052400.527,3592
2013,5,7047051.514,3597
2013,6,8820259.214,3746
2013,7,7446892.335,3817
2013,8,7529725.453,3917
2013,9,8575371.557,3956
2013,10,7711265.834,4013
2013,11,7704567.564,4028
2013,12,9488499.161,4059
2014,1,7913450.504,4074
2014,2,7965752.704,4079
2014,3,9022791.731,4091
2014,4,8012481.766,4086
2014,5,8161437.965,4147
2014,6,9946096.203,4201
2014,7,8369811.331,4182
2014,8,8343748.157,4188
2014,9,9362530.807,4191
2014,10,8243783.107,4173
2014,11,8261813.218,4178
2014,12,9944497.797,4192
2015,1,8169204.669,4151
2015,2,8918346.781,4150
2015,3,10003627.186,4143
2015,4,8961888.965,4128
2015,5,9021579.334,4148
2015,6,10755419.319,4177
2015,7,9374294.911,4149
2015,8,9297691.902999999,4141
2015,9,9518867.656,4264
2015,10,10092959.727,4348
2015,11,9923613.732,4470
2015,12,11773354.09,4515
2016,1,10352542.181,4469
2016,2,10462475.944,4481
2016,3,11599636.862,4499
2016,4,10624836.927,4566
